@relation R_data_frame

@attribute Empty_Lines numeric
@attribute Lines_Of_Comments numeric
@attribute Lines_Of_Program numeric
@attribute Physic_Lines numeric
@attribute n1_Number_Of_Distinct_Operators numeric
@attribute n2_Number_Of_Distinct_Operands numeric
@attribute n_Program_Vocabulary numeric
@attribute N1_Total_Number_Of_Operators numeric
@attribute N2_Total_Number_Of_Operands numeric
@attribute N_Program_Length numeric
@attribute B_Number_of_Delivered_Bugs_1 numeric
@attribute B_Number_of_Delivered_Bugs_2 numeric
@attribute D_Difficulty numeric
@attribute E_Effort numeric
@attribute T_Time_Required_To_Program numeric
@attribute V_Volume numeric
@attribute _N_Calculated_Program_Length numeric
@attribute McCab_Number numeric
@attribute IsVulnerable {no,yes}

@data
0,0,31,31,19,48,67,158,105,263,0.000333,0.531794,18.000000,28716.866228,1595.381457,1595.381457,348.788823,9,no
0,0,8,8,4,11,15,21,39,60,0.000333,0.078138,6.000000,1406.480614,78.137812,234.413436,46.053748,1,yes
0,0,8,8,4,12,16,21,46,67,0.000333,0.089333,6.000000,1608.000000,89.333333,268.000000,51.019550,1,no
0,0,9,9,6,13,19,25,48,73,0.000333,0.103366,9.000000,2790.888376,155.049354,310.098708,63.615491,2,no
0,0,28,28,19,52,71,148,98,246,0.000333,0.504279,9.000000,13615.540123,756.418896,1512.837791,377.133488,12,yes
0,0,37,37,25,64,89,222,144,366,0.000333,0.790039,24.000000,56882.842458,3160.157914,2370.118436,500.096405,15,no
0,0,37,37,25,64,89,222,144,366,0.000333,0.790039,24.000000,56882.842458,3160.157914,2370.118436,500.096405,15,no
0,0,27,27,19,52,71,145,97,242,0.000333,0.496080,9.000000,13394.149226,744.119401,1488.238803,377.133488,11,yes
0,0,36,36,25,64,89,219,143,362,0.000333,0.781405,24.000000,56261.172048,3125.620669,2344.215502,500.096405,14,no
0,0,26,26,18,47,65,115,86,201,0.000333,0.403499,9.000000,10894.463374,605.247965,1210.495930,336.124326,11,yes
0,0,27,27,19,46,65,121,87,208,0.000333,0.417551,9.000000,11273.872546,626.326253,1252.652505,334.794473,12,no
0,0,27,27,19,46,65,120,87,207,0.000333,0.415543,9.000000,11219.671236,623.315069,1246.630137,334.794473,12,no
0,0,7,7,9,10,19,18,16,34,0.000333,0.048143,4.000000,577.718142,32.095452,144.429535,61.748606,3,no
0,0,7,7,8,10,18,17,16,33,0.000333,0.045869,4.000000,550.430100,30.579450,137.607525,57.219281,3,no
0,0,28,28,18,49,67,127,99,226,0.000333,0.456979,18.000000,24676.850827,1370.936157,1370.936157,350.179432,9,yes
0,0,9,9,9,15,24,29,31,60,0.000333,0.091699,8.000000,2200.782000,122.265667,275.097750,87.132684,1,no
