@relation R_data_frame

@attribute Lines_Of_Program numeric
@attribute Physic_Lines numeric
@attribute n1_Number_Of_Distinct_Operators numeric
@attribute n2_Number_Of_Distinct_Operands numeric
@attribute n_Program_Vocabulary numeric
@attribute N1_Total_Number_Of_Operators numeric
@attribute N2_Total_Number_Of_Operands numeric
@attribute N_Program_Length numeric
@attribute B_Number_of_Delivered_Bugs_1 numeric
@attribute B_Number_of_Delivered_Bugs_2 numeric
@attribute D_Difficulty numeric
@attribute E_Effort numeric
@attribute T_Time_Required_To_Program numeric
@attribute V_Volume numeric
@attribute _N_Calculated_Program_Length numeric
@attribute McCab_Number numeric
@attribute IsVulnerable {no,yes}

@data
33,33,13,34,47,155,139,294,0.000333,0.544350,24.000000,39193.178937,2177.398830,1633.049122,221.079453,10,no
16,16,21,23,44,100,76,176,0.000333,0.320287,30.000000,28825.798946,1601.433275,960.859965,196.280591,5,no
12,12,20,21,41,69,50,119,0.000333,0.212516,20.000000,12750.973771,708.387432,637.548689,178.677228,5,no
3,3,13,9,22,24,14,38,0.000333,0.056486,6.000000,1016.750409,56.486134,169.458402,76.635041,2,no
56,56,19,56,75,287,245,532,0.000333,1.104577,36.000000,119294.335560,6627.463087,3313.731543,405.922498,11,no
3,3,11,9,20,28,14,42,0.000333,0.060507,5.000000,907.604900,50.422494,181.520980,66.583073,3,no
15,15,13,22,35,78,68,146,0.000333,0.249625,18.000000,13479.755769,748.875320,748.875320,146.213212,8,no
3,3,12,11,23,20,14,34,0.000333,0.051267,6.000000,922.806639,51.267036,153.801107,81.073298,1,no
6,6,14,13,27,39,22,61,0.000333,0.096683,7.000000,2030.336963,112.796498,290.048138,101.408685,2,no
8,8,16,12,28,43,34,77,0.000333,0.123389,16.000000,5922.661264,329.036737,370.166329,107.019550,5,no
4,4,8,8,16,17,11,28,0.000333,0.037333,4.000000,448.000000,24.888889,112.000000,48.000000,1,no
26,26,13,28,41,143,95,238,0.000333,0.425032,18.000000,22951.752788,1275.097377,1275.097377,182.711654,1,no
7,7,8,13,21,27,24,51,0.000333,0.074669,4.000000,896.032754,49.779597,224.008189,72.105716,1,no
34,34,13,32,45,118,103,221,0.000333,0.404567,18.000000,21846.591617,1213.699534,1213.699534,208.105716,1,no
30,30,13,32,45,114,96,210,0.000333,0.384430,18.000000,20759.204704,1153.289150,1153.289150,208.105716,1,no
23,23,16,31,47,120,102,222,0.000333,0.411040,24.000000,29594.849402,1644.158300,1233.118725,217.580086,4,no
11,11,15,26,41,74,51,125,0.000333,0.223231,7.000000,4687.858004,260.436556,669.694001,180.814792,1,no
9,9,15,25,40,67,47,114,0.000333,0.202233,7.000000,4246.898620,235.938812,606.699803,174.699764,1,no
8,8,13,18,31,61,43,104,0.000333,0.171745,12.000000,6182.836995,343.490944,515.236416,123.164366,1,no
4,4,9,7,16,17,10,27,0.000333,0.036000,4.000000,432.000000,24.000000,108.000000,48.180809,1,no
33,33,16,22,38,174,119,293,0.000333,0.512548,40.000000,61505.710458,3416.983914,1537.642761,162.107496,1,no
13,13,19,29,48,132,83,215,0.000333,0.400256,18.000000,21613.804878,1200.766938,1200.766938,221.592072,12,no
13,13,19,29,48,132,83,215,0.000333,0.400256,18.000000,21613.804878,1200.766938,1200.766938,221.592072,12,no
10,10,8,15,23,42,30,72,0.000333,0.108565,8.000000,2605.571687,144.753983,325.696461,82.603359,1,no
10,10,8,15,23,42,30,72,0.000333,0.108565,8.000000,2605.571687,144.753983,325.696461,82.603359,1,no
7,7,14,19,33,36,29,65,0.000333,0.109295,7.000000,2295.199324,127.511074,327.885618,134.013592,6,no
8,8,15,18,33,41,34,75,0.000333,0.126110,7.000000,2648.306913,147.128162,378.329559,133.662009,2,no
8,8,15,18,33,41,34,75,0.000333,0.126110,7.000000,2648.306913,147.128162,378.329559,133.662009,2,no
11,11,13,25,38,46,43,89,0.000333,0.155689,6.000000,2802.393292,155.688516,467.065549,164.202121,1,no
5,5,10,14,24,31,27,58,0.000333,0.088643,5.000000,1329.639125,73.868840,265.927825,86.522250,2,no
7,7,12,22,34,46,44,90,0.000333,0.152624,12.000000,5494.459869,305.247770,457.871656,141.127046,1,no
38,38,18,45,63,190,145,335,0.000333,0.667463,27.000000,54064.496908,3003.583162,2002.388774,322.192039,11,no
4,4,11,7,18,21,12,33,0.000333,0.045869,5.000000,688.037625,38.224313,137.607525,57.705232,2,no
4,4,12,14,26,37,20,57,0.000333,0.089308,6.000000,1607.550384,89.308355,267.925064,96.322519,4,no
11,11,13,30,43,86,84,170,0.000333,0.307488,12.000000,11069.580100,614.976672,922.465008,195.312434,1,no
24,24,15,38,53,101,92,193,0.000333,0.368496,14.000000,15476.841068,859.824504,1105.488648,258.024604,2,no
3,3,9,9,18,16,14,30,0.000333,0.041699,4.000000,500.391000,27.799500,125.097750,57.058650,1,no
6,6,14,14,28,34,28,62,0.000333,0.099352,14.000000,4172.784072,231.821337,298.056005,106.605938,1,no
3,3,7,7,14,19,12,31,0.000333,0.039343,3.000000,354.084008,19.671334,118.028003,39.302969,3,no
48,48,22,42,64,249,213,462,0.000333,0.924000,55.000000,152460.000000,8470.000000,2772.000000,324.584827,7,no
3,3,9,9,18,20,13,33,0.000333,0.045869,4.000000,550.430100,30.579450,137.607525,57.058650,1,no
13,13,13,25,38,101,76,177,0.000333,0.309628,18.000000,16719.897058,928.883170,928.883170,164.202121,1,no
14,14,21,32,53,147,89,236,0.000333,0.450596,20.000000,27035.784546,1501.988030,1351.789227,252.238666,12,no
4,4,8,13,21,17,19,36,0.000333,0.052708,4.000000,632.493709,35.138539,158.123427,72.105716,1,no
10,10,12,21,33,47,34,81,0.000333,0.136199,6.000000,2451.575542,136.198641,408.595924,135.258216,2,no
7,7,15,25,40,53,37,90,0.000333,0.159658,7.000000,3352.814700,186.267483,478.973529,174.699764,1,no
53,53,25,40,65,265,215,480,0.000333,0.963579,60.000000,173444.193015,9635.788501,2890.736550,328.973529,15,no
9,9,15,26,41,60,41,101,0.000333,0.180371,7.000000,3787.789267,210.432737,541.112752,180.814792,1,no
7,7,14,19,33,36,30,66,0.000333,0.110977,7.000000,2330.510083,129.472782,332.930012,134.013592,6,no
11,11,12,28,40,65,56,121,0.000333,0.214651,12.000000,7727.439594,429.302200,643.953299,177.625488,1,no
3,3,10,8,18,14,10,24,0.000333,0.033359,5.000000,500.391000,27.799500,100.078200,57.219281,1,no
21,21,15,40,55,137,99,236,0.000333,0.454800,14.000000,19101.612493,1061.200694,1364.400892,271.480483,2,no
5,5,5,7,12,17,14,31,0.000333,0.037045,4.000000,444.535350,24.696408,111.133838,31.261125,1,no
5,5,5,7,12,17,14,31,0.000333,0.037045,4.000000,444.535350,24.696408,111.133838,31.261125,1,no
3,3,10,8,18,14,10,24,0.000333,0.033359,5.000000,500.391000,27.799500,100.078200,57.219281,1,no
23,23,17,25,42,225,143,368,0.000333,0.661458,40.000000,79374.912463,4409.717359,1984.372812,185.583273,1,no
3,3,10,12,22,21,16,37,0.000333,0.055000,5.000000,824.994849,45.833047,164.998970,76.238831,1,no
28,28,22,35,57,189,120,309,0.000333,0.600788,33.000000,59477.979474,3304.332193,1802.363014,277.632401,3,no
3,3,6,9,15,14,11,25,0.000333,0.032557,3.000000,293.016795,16.278711,97.672265,44.039100,1,no
7,7,16,16,32,67,45,112,0.000333,0.186667,16.000000,8960.000000,497.777778,560.000000,128.000000,2,no
10,10,13,20,33,59,50,109,0.000333,0.183280,12.000000,6598.067508,366.559306,549.838959,134.544278,1,no
6,6,10,12,22,36,30,66,0.000333,0.098107,10.000000,2943.224868,163.512493,294.322487,76.238831,1,no
9,9,10,20,30,51,38,89,0.000333,0.145571,5.000000,2183.566315,121.309240,436.713263,119.657843,10,no
3,3,8,9,17,19,13,32,0.000333,0.043600,4.000000,523.195244,29.066402,130.798811,52.529325,1,no
33,33,15,37,52,196,165,361,0.000333,0.685953,28.000000,57620.044671,3201.113593,2057.858738,251.353133,26,no
21,21,15,33,48,106,82,188,0.000333,0.349991,14.000000,14699.621302,816.645628,1049.972950,225.068365,6,no
8,8,8,16,24,32,35,67,0.000333,0.102397,8.000000,2457.539900,136.529994,307.192488,88.000000,1,no
4,4,10,12,22,19,16,35,0.000333,0.052027,5.000000,780.400533,43.355585,156.080107,76.238831,1,no
3,3,8,6,14,19,11,30,0.000333,0.038074,4.000000,456.882591,25.382366,114.220648,39.509775,1,no
5,5,14,13,27,34,20,54,0.000333,0.085588,7.000000,1797.347476,99.852638,256.763925,101.408685,2,no
9,9,17,21,38,71,48,119,0.000333,0.208168,16.000000,9992.053986,555.114110,624.503374,161.725534,5,no
9,9,17,21,38,71,48,119,0.000333,0.208168,16.000000,9992.053986,555.114110,624.503374,161.725534,5,no
7,7,11,21,32,45,43,88,0.000333,0.146667,10.000000,4400.000000,244.444444,440.000000,130.292414,1,no
20,20,20,37,57,176,133,309,0.000333,0.600788,30.000000,54070.890431,3003.938357,1802.363014,279.188336,3,no
40,40,16,44,60,205,179,384,0.000333,0.756082,32.000000,72583.871639,4032.437313,2268.245989,304.214991,10,no
74,74,21,41,62,380,322,702,0.000333,1.393282,70.000000,292589.206692,16254.955927,4179.845810,311.898298,46,no
27,27,13,34,47,151,104,255,0.000333,0.472140,18.000000,25495.562829,1416.420157,1416.420157,221.079453,2,no
6,6,12,13,25,44,33,77,0.000333,0.119192,12.000000,4290.923119,238.384618,357.576927,91.125266,2,no
3,3,9,9,18,20,13,33,0.000333,0.045869,4.000000,550.430100,30.579450,137.607525,57.058650,1,no
29,29,20,57,77,166,141,307,0.000333,0.641301,20.000000,38478.069360,2137.670520,1923.903468,418.913293,13,no
29,29,20,57,77,166,141,307,0.000333,0.641301,20.000000,38478.069360,2137.670520,1923.903468,418.913293,13,no
7,7,15,20,35,46,32,78,0.000333,0.133361,7.000000,2800.588527,155.588252,400.084075,145.041921,1,no
69,69,21,44,65,373,318,691,0.000333,1.387152,70.000000,291301.931116,16183.440618,4161.456159,332.453657,46,no
13,13,14,28,42,70,74,144,0.000333,0.258831,14.000000,10870.911924,603.939551,776.493709,187.908907,1,no
16,16,14,28,42,86,87,173,0.000333,0.310957,21.000000,19590.289197,1088.349400,932.870914,187.908907,1,no
3,3,5,4,9,9,7,16,0.000333,0.016906,2.000000,101.437600,5.635422,50.718800,19.609640,1,no
3,3,5,4,9,9,7,16,0.000333,0.016906,2.000000,101.437600,5.635422,50.718800,19.609640,1,no
92,92,21,106,127,524,435,959,0.000333,2.234050,40.000000,268085.944585,14893.663588,6702.148615,805.398234,7,no
45,45,17,44,61,213,185,398,0.000333,0.786811,32.000000,75533.870731,4196.326152,2360.433460,309.701860,10,no
3,3,11,10,21,20,15,35,0.000333,0.051244,5.000000,768.655549,42.703086,153.731110,71.273029,2,no
13,13,15,23,38,75,51,126,0.000333,0.220413,14.000000,9257.344134,514.296896,661.238867,162.645284,1,no
5,5,11,18,29,38,26,64,0.000333,0.103637,5.000000,1554.553918,86.364107,310.910784,113.112398,1,no
4,4,13,9,22,31,22,53,0.000333,0.078783,12.000000,2836.198509,157.566584,236.349876,76.635041,4,no
49,49,17,49,66,245,212,457,0.000333,0.920763,32.000000,88393.219601,4910.734422,2762.288113,344.607651,10,no
12,12,17,23,40,116,79,195,0.000333,0.345925,24.000000,24906.623484,1383.701305,1037.775979,173.528793,1,no
3,3,9,9,18,18,14,32,0.000333,0.044479,4.000000,533.750400,29.652800,133.437600,57.058650,1,no
64,64,22,45,67,342,279,621,0.000333,1.255680,66.000000,248624.731560,13812.485087,3767.041387,345.240885,6,no
5,5,13,16,29,29,21,50,0.000333,0.080966,6.000000,1457.394299,80.966350,242.899050,112.105716,2,no
44,44,23,69,92,262,224,486,0.000333,1.056817,33.000000,104624.886651,5812.493703,3170.451111,525.530113,7,no
42,42,23,69,92,255,217,472,0.000333,1.026374,33.000000,101611.001028,5645.055613,3079.121243,525.530113,7,no
8,8,9,7,16,38,25,63,0.000333,0.084000,12.000000,3024.000000,168.000000,252.000000,48.180809,1,no
5,5,9,13,22,39,26,65,0.000333,0.096621,8.000000,2318.904442,128.828025,289.863055,76.635041,1,no
6,6,10,17,27,42,32,74,0.000333,0.117287,5.000000,1759.308376,97.739354,351.861675,102.706149,1,no
6,6,10,17,27,42,32,74,0.000333,0.117287,5.000000,1759.308376,97.739354,351.861675,102.706149,1,no
11,11,18,25,43,82,58,140,0.000333,0.253226,18.000000,13674.187182,759.677066,759.677066,191.155055,5,no
11,11,18,25,43,82,58,140,0.000333,0.253226,18.000000,13674.187182,759.677066,759.677066,191.155055,5,no
71,71,30,71,101,376,295,671,0.000333,1.489220,60.000000,268059.594296,14892.199683,4467.659905,583.838763,10,no
48,48,21,42,63,242,208,450,0.000333,0.896592,40.000000,107591.038623,5977.279923,2689.775966,318.715998,17,no
29,29,16,40,56,181,146,327,0.000333,0.633002,24.000000,45576.121428,2532.006746,1899.005060,276.877124,16,no
25,25,15,45,60,131,102,233,0.000333,0.458769,14.000000,19268.277123,1070.459840,1376.305509,305.736748,4,no
48,48,24,40,64,227,230,457,0.000333,0.914000,60.000000,164520.000000,9140.000000,2742.000000,322.916224,3,no
48,48,24,40,64,227,230,457,0.000333,0.914000,60.000000,164520.000000,9140.000000,2742.000000,322.916224,3,no
25,25,19,35,54,107,103,210,0.000333,0.402842,18.000000,21753.474758,1208.526375,1208.526375,260.235528,4,no
17,17,16,35,51,83,88,171,0.000333,0.323328,16.000000,15519.755736,862.208652,969.984733,243.524906,1,no
17,17,16,35,51,83,88,171,0.000333,0.323328,16.000000,15519.755736,862.208652,969.984733,243.524906,1,no
26,26,20,37,57,173,116,289,0.000333,0.561902,30.000000,50571.156423,2809.508690,1685.705214,279.188336,3,no
33,33,17,45,62,162,153,315,0.000333,0.625191,24.000000,45013.724107,2500.762450,1875.571838,316.620258,7,no
38,38,13,31,44,133,118,251,0.000333,0.456772,18.000000,24665.712053,1370.317336,1370.317336,201.685802,1,no
3,3,7,8,15,16,17,33,0.000333,0.042976,6.000000,773.564338,42.975797,128.927390,43.651484,1,no
8,8,9,17,26,37,40,77,0.000333,0.120645,8.000000,2895.470866,160.859493,361.933858,98.016193,1,no
13,13,20,28,48,81,59,140,0.000333,0.260632,20.000000,15637.895002,868.771945,781.894750,221.044500,5,no
13,13,20,28,48,81,59,140,0.000333,0.260632,20.000000,15637.895002,868.771945,781.894750,221.044500,5,no
64,64,19,52,71,368,214,582,0.000333,1.193051,36.000000,128849.501648,7158.305647,3579.152824,377.133488,9,no
28,28,16,34,50,148,125,273,0.000333,0.513591,24.000000,36978.545755,2054.363653,1540.772740,236.973737,9,no
4,4,9,10,19,20,13,33,0.000333,0.046727,4.000000,560.726432,31.151468,140.181608,61.748606,1,no
8,8,11,17,28,56,45,101,0.000333,0.161848,10.000000,4855.428471,269.746026,485.542847,107.540616,1,no
7,7,13,18,31,51,33,84,0.000333,0.138717,6.000000,2496.914940,138.717497,416.152490,123.164366,2,no
10,10,14,23,37,68,50,118,0.000333,0.204905,14.000000,8606.016960,478.112053,614.715497,157.344894,2,no
34,34,23,46,69,196,173,369,0.000333,0.751349,33.000000,74383.502310,4132.416795,2254.045525,358.125775,5,no
57,57,21,58,79,305,263,568,0.000333,1.193516,40.000000,143221.898599,7956.772144,3580.547465,432.001564,11,no
8,8,13,22,35,46,33,79,0.000333,0.135071,6.000000,2431.280150,135.071119,405.213358,146.213212,4,no
3,3,5,6,11,9,8,17,0.000333,0.019603,2.000000,117.620675,6.534482,58.810338,27.119415,1,no
3,3,5,6,11,9,8,17,0.000333,0.019603,2.000000,117.620675,6.534482,58.810338,27.119415,1,no
18,18,22,24,46,100,75,175,0.000333,0.322208,33.000000,31898.570296,1772.142794,966.623342,208.146596,2,no
69,69,26,48,74,361,346,707,0.000333,1.463361,91.000000,399497.601184,22194.311177,4390.083529,390.289633,6,no
9,9,9,17,26,40,35,75,0.000333,0.117511,8.000000,2820.263831,156.681324,352.532979,98.016193,1,no
10,10,13,18,31,84,46,130,0.000333,0.214682,12.000000,7728.546244,429.363680,644.045520,123.164366,6,no
10,10,13,18,31,84,46,130,0.000333,0.214682,12.000000,7728.546244,429.363680,644.045520,123.164366,6,no
11,11,19,17,36,76,51,127,0.000333,0.218860,27.000000,17727.672830,984.870713,656.580475,150.197491,6,no
7,7,10,19,29,41,32,73,0.000333,0.118211,5.000000,1773.163063,98.509059,354.632613,113.929904,10,no
11,11,10,25,35,57,48,105,0.000333,0.179525,5.000000,2692.873584,149.604088,538.574717,149.315686,4,no
11,11,18,26,44,84,59,143,0.000333,0.260233,18.000000,14052.576986,780.698721,780.698721,197.270083,5,no
11,11,18,26,44,84,59,143,0.000333,0.260233,18.000000,14052.576986,780.698721,780.698721,197.270083,5,no
21,21,14,34,48,136,97,233,0.000333,0.433765,14.000000,18218.147677,1012.119315,1301.296263,226.276706,2,no
8,8,13,17,30,62,49,111,0.000333,0.181555,12.000000,6535.978273,363.109904,544.664856,117.592585,3,no
3,3,9,8,17,18,11,29,0.000333,0.039512,4.000000,474.145690,26.341427,118.536422,52.529325,1,no
4,4,14,13,27,30,21,51,0.000333,0.080833,7.000000,1697.494838,94.305269,242.499263,101.408685,2,no
24,24,13,28,41,117,106,223,0.000333,0.398245,18.000000,21505.213747,1194.734097,1194.734097,182.711654,9,no
57,57,21,90,111,320,275,595,0.000333,1.347559,30.000000,121280.323214,6737.795734,4042.677440,676.505445,7,no
67,67,21,98,119,377,326,703,0.000333,1.615686,30.000000,145411.706628,8078.428146,4847.056888,740.480231,9,no
54,54,22,45,67,298,249,547,0.000333,1.106050,55.000000,182498.293295,10138.794072,3318.150787,345.240885,7,no
46,46,14,33,47,207,151,358,0.000333,0.662848,28.000000,55679.198649,3093.288814,1988.542809,219.767975,5,no
11,11,11,26,37,61,51,112,0.000333,0.194486,5.000000,2917.293885,162.071882,583.458777,160.265180,4,no
6,6,12,19,31,40,30,70,0.000333,0.115598,6.000000,2080.762450,115.597914,346.793742,123.730173,1,no
20,20,14,30,44,95,94,189,0.000333,0.343944,21.000000,21668.484094,1203.804672,1031.832576,200.509687,4,no
51,51,17,47,64,226,221,447,0.000333,0.894000,32.000000,85824.000000,4768.000000,2682.000000,330.552544,7,no
19,19,18,25,43,87,74,161,0.000333,0.291210,18.000000,15725.315259,873.628626,873.628626,191.155055,3,no
5,5,10,10,20,22,17,39,0.000333,0.056185,5.000000,842.775979,46.820888,168.555196,66.438562,1,no
10,10,12,17,29,83,45,128,0.000333,0.207274,12.000000,7461.858809,414.547712,621.821567,112.506418,6,no
10,10,12,17,29,83,45,128,0.000333,0.207274,12.000000,7461.858809,414.547712,621.821567,112.506418,6,no
13,13,17,31,48,71,53,124,0.000333,0.230845,8.000000,5540.282801,307.793489,692.535350,223.066954,5,no
7,7,16,17,33,55,40,95,0.000333,0.159739,16.000000,7667.479061,425.971059,479.217441,133.486868,3,no
32,32,22,39,61,182,141,323,0.000333,0.638543,33.000000,63215.729281,3511.984960,1915.628160,304.238182,3,no
33,33,16,37,53,173,149,322,0.000333,0.614797,32.000000,59020.492364,3278.916242,1844.390386,256.749775,10,no
30,30,22,39,61,165,131,296,0.000333,0.585166,33.000000,57931.442313,3218.413462,1755.498252,304.238182,3,no
29,29,17,38,55,133,101,234,0.000333,0.450946,16.000000,21645.410767,1202.522820,1352.838173,268.908114,10,no
10,10,14,15,29,74,35,109,0.000333,0.176507,14.000000,7413.278999,411.848833,529.519928,111.906328,5,yes
17,17,16,44,60,120,87,207,0.000333,0.407575,8.000000,9781.810826,543.433935,1222.726353,304.214991,6,yes
3,3,8,13,21,37,24,61,0.000333,0.089310,4.000000,1071.725451,59.540303,267.931363,72.105716,1,no
4,4,4,7,11,13,11,24,0.000333,0.027675,2.000000,166.052718,9.225151,83.026359,27.651484,3,no
3,3,9,9,18,18,13,31,0.000333,0.043089,4.000000,517.070700,28.726150,129.267675,57.058650,2,no
7,7,11,19,30,44,28,72,0.000333,0.117765,5.000000,1766.480614,98.137812,353.296123,118.764371,2,no
3,3,8,9,17,17,12,29,0.000333,0.039512,4.000000,474.145690,26.341427,118.536422,52.529325,2,no
3,3,9,9,18,18,13,31,0.000333,0.043089,4.000000,517.070700,28.726150,129.267675,57.058650,2,no
4,4,6,10,16,26,15,41,0.000333,0.054667,3.000000,492.000000,27.333333,164.000000,48.729056,1,no
3,3,10,8,18,16,13,29,0.000333,0.040309,5.000000,604.639125,33.591063,120.927825,57.219281,3,no
28,28,17,38,55,144,79,223,0.000333,0.429748,16.000000,20627.891458,1145.993970,1289.243216,268.908114,10,no
4,4,6,8,14,17,12,29,0.000333,0.036804,3.000000,331.239878,18.402215,110.413293,39.509775,3,no
7,7,11,19,30,44,28,72,0.000333,0.117765,5.000000,1766.480614,98.137812,353.296123,118.764371,2,no
7,7,11,19,30,44,28,72,0.000333,0.117765,5.000000,1766.480614,98.137812,353.296123,118.764371,2,no
4,4,11,10,21,26,17,43,0.000333,0.062957,5.000000,944.348246,52.463791,188.869649,71.273029,2,no
17,17,16,23,39,110,55,165,0.000333,0.290697,16.000000,13953.461858,775.192325,872.091366,168.041925,7,no
6,6,15,15,30,35,24,59,0.000333,0.096502,7.000000,2026.545816,112.585879,289.506545,117.206718,4,no
3,3,10,8,18,16,13,29,0.000333,0.040309,5.000000,604.639125,33.591063,120.927825,57.219281,3,no
3,3,10,8,18,16,13,29,0.000333,0.040309,5.000000,604.639125,33.591063,120.927825,57.219281,3,no
36,36,21,46,67,185,115,300,0.000333,0.606609,20.000000,36396.535143,2022.029730,1819.826757,346.322516,16,no
22,22,17,31,48,117,74,191,0.000333,0.355576,16.000000,17067.645402,948.202522,1066.727838,223.066954,3,no
3,3,10,10,20,17,13,30,0.000333,0.043219,5.000000,648.289214,36.016067,129.657843,66.438562,2,no
7,7,11,19,30,44,28,72,0.000333,0.117765,5.000000,1766.480614,98.137812,353.296123,118.764371,2,no
8,8,11,14,25,50,26,76,0.000333,0.117644,5.000000,1764.665352,98.036964,352.933070,91.356717,3,no
4,4,10,12,22,21,17,38,0.000333,0.056486,5.000000,847.292008,47.071778,169.458402,76.238831,1,no
4,4,8,10,18,28,18,46,0.000333,0.063939,4.000000,767.266200,42.625900,191.816550,57.219281,4,no
3,3,9,9,18,18,13,31,0.000333,0.043089,4.000000,517.070700,28.726150,129.267675,57.058650,2,no
4,4,11,9,20,23,14,37,0.000333,0.053304,5.000000,799.556698,44.419817,159.911340,66.583073,2,no
3,3,10,10,20,17,13,30,0.000333,0.043219,5.000000,648.289214,36.016067,129.657843,66.438562,2,no
4,4,11,10,21,26,17,43,0.000333,0.062957,5.000000,944.348246,52.463791,188.869649,71.273029,2,no
3,3,10,8,18,16,13,29,0.000333,0.040309,5.000000,604.639125,33.591063,120.927825,57.219281,3,no
18,18,13,25,38,129,71,200,0.000333,0.349862,12.000000,12595.026032,699.723668,1049.585503,164.202121,11,no
7,7,11,19,30,44,28,72,0.000333,0.117765,5.000000,1766.480614,98.137812,353.296123,118.764371,2,no
4,4,4,7,11,13,11,24,0.000333,0.027675,2.000000,166.052718,9.225151,83.026359,27.651484,3,no
3,3,8,10,18,20,13,33,0.000333,0.045869,4.000000,550.430100,30.579450,137.607525,57.219281,3,no
3,3,9,9,18,18,13,31,0.000333,0.043089,4.000000,517.070700,28.726150,129.267675,57.058650,2,no
4,4,11,10,21,26,17,43,0.000333,0.062957,5.000000,944.348246,52.463791,188.869649,71.273029,2,no
4,4,6,5,11,10,5,15,0.000333,0.017297,3.000000,155.674423,8.648579,51.891474,27.119415,1,no
4,4,8,11,19,17,15,32,0.000333,0.045311,4.000000,543.734722,30.207485,135.933680,62.053748,3,no
5,5,12,16,28,39,25,64,0.000333,0.102557,6.000000,1846.024290,102.556905,307.670715,107.019550,4,no
3,3,10,8,18,16,13,29,0.000333,0.040309,5.000000,604.639125,33.591063,120.927825,57.219281,3,no
16,16,14,30,44,101,53,154,0.000333,0.280251,7.000000,5885.267285,326.959294,840.752469,200.509687,6,no
27,27,17,37,54,142,78,220,0.000333,0.422025,16.000000,20257.204008,1125.400223,1266.075250,262.236643,10,no
4,4,4,7,11,13,11,24,0.000333,0.027675,2.000000,166.052718,9.225151,83.026359,27.651484,3,no
4,4,7,9,16,16,12,28,0.000333,0.037333,3.000000,336.000000,18.666667,112.000000,48.180809,3,no
6,6,9,18,27,24,23,47,0.000333,0.074493,4.000000,893.918850,49.662158,223.479713,103.587975,3,no
7,7,11,19,30,44,28,72,0.000333,0.117765,5.000000,1766.480614,98.137812,353.296123,118.764371,2,no
3,3,10,8,18,16,13,29,0.000333,0.040309,5.000000,604.639125,33.591063,120.927825,57.219281,3,no
9,9,12,19,31,47,33,80,0.000333,0.132112,6.000000,2378.014229,132.111902,396.335705,123.730173,4,no
4,4,10,12,22,21,17,38,0.000333,0.056486,5.000000,847.292008,47.071778,169.458402,76.238831,1,no
4,4,11,9,20,24,12,36,0.000333,0.051863,5.000000,777.947057,43.219281,155.589411,66.583073,5,no
4,4,11,10,21,26,17,43,0.000333,0.062957,5.000000,944.348246,52.463791,188.869649,71.273029,2,no
4,4,10,9,19,46,19,65,0.000333,0.092038,10.000000,2761.152884,153.397382,276.115288,61.748606,11,no
6,6,9,17,26,26,23,49,0.000333,0.076774,4.000000,921.286185,51.182566,230.321546,98.016193,3,no
5,5,12,16,28,39,25,64,0.000333,0.102557,6.000000,1846.024290,102.556905,307.670715,107.019550,2,no
7,7,11,19,30,44,28,72,0.000333,0.117765,5.000000,1766.480614,98.137812,353.296123,118.764371,2,no
3,3,10,8,18,16,13,29,0.000333,0.040309,5.000000,604.639125,33.591063,120.927825,57.219281,3,no
7,7,11,19,30,44,28,72,0.000333,0.117765,5.000000,1766.480614,98.137812,353.296123,118.764371,2,no
4,4,7,13,20,20,20,40,0.000333,0.057626,3.000000,518.631371,28.812854,172.877124,67.757201,2,no
6,6,9,18,27,24,23,47,0.000333,0.074493,4.000000,893.918850,49.662158,223.479713,103.587975,3,no
4,4,4,7,11,13,11,24,0.000333,0.027675,2.000000,166.052718,9.225151,83.026359,27.651484,3,no
17,17,16,23,39,110,55,165,0.000333,0.290697,16.000000,13953.461858,775.192325,872.091366,168.041925,7,no
6,6,11,15,26,33,25,58,0.000333,0.090875,5.000000,1363.127518,75.729307,272.625504,96.657107,2,no
17,17,16,23,39,110,55,165,0.000333,0.290697,16.000000,13953.461858,775.192325,872.091366,168.041925,7,no
3,3,11,11,22,26,15,41,0.000333,0.060946,5.000000,914.183482,50.787971,182.836696,76.107496,3,no
4,4,4,7,11,13,11,24,0.000333,0.027675,2.000000,166.052718,9.225151,83.026359,27.651484,3,no
4,4,11,9,20,24,12,36,0.000333,0.051863,5.000000,777.947057,43.219281,155.589411,66.583073,5,no
6,6,9,18,27,24,23,47,0.000333,0.074493,4.000000,893.918850,49.662158,223.479713,103.587975,3,no
4,4,8,11,19,17,15,32,0.000333,0.045311,4.000000,543.734722,30.207485,135.933680,62.053748,3,no
4,4,6,8,14,17,12,29,0.000333,0.036804,3.000000,331.239878,18.402215,110.413293,39.509775,3,no
3,3,10,10,20,17,13,30,0.000333,0.043219,5.000000,648.289214,36.016067,129.657843,66.438562,2,no
10,10,18,17,35,60,40,100,0.000333,0.170976,18.000000,9232.709431,512.928302,512.928302,144.545518,6,no
8,8,9,17,26,35,26,61,0.000333,0.095576,4.000000,1146.907291,63.717072,286.726823,98.016193,3,no
