@relation R_data_frame

@attribute Lines_Of_Program numeric
@attribute Physic_Lines numeric
@attribute n1_Number_Of_Distinct_Operators numeric
@attribute n2_Number_Of_Distinct_Operands numeric
@attribute n_Program_Vocabulary numeric
@attribute N1_Total_Number_Of_Operators numeric
@attribute N2_Total_Number_Of_Operands numeric
@attribute N_Program_Length numeric
@attribute B_Number_of_Delivered_Bugs_1 numeric
@attribute B_Number_of_Delivered_Bugs_2 numeric
@attribute D_Difficulty numeric
@attribute E_Effort numeric
@attribute T_Time_Required_To_Program numeric
@attribute V_Volume numeric
@attribute _N_Calculated_Program_Length numeric
@attribute McCab_Number numeric
@attribute IsVulnerable {no,yes}

@data
16,16,15,20,35,57,45,102,0.000333,0.174396,14.000000,7324.616148,406.923119,523.186868,145.041921,3,yes
14,14,15,15,30,41,34,75,0.000333,0.122672,14.000000,5152.235125,286.235285,368.016795,117.206718,2,no
6,6,7,7,14,16,15,31,0.000333,0.039343,6.000000,708.168016,39.342668,118.028003,39.302969,2,no
8,8,13,14,27,34,28,62,0.000333,0.098268,12.000000,3537.636302,196.535350,294.803025,101.408685,4,no
12,12,17,20,37,55,38,93,0.000333,0.161493,8.000000,3875.833304,215.324072,484.479163,155.925430,5,no
8,8,14,13,27,43,30,73,0.000333,0.115702,14.000000,4859.495027,269.971946,347.106788,101.408685,4,yes
13,13,15,16,31,79,53,132,0.000333,0.217985,21.000000,13733.032172,762.946232,653.953913,122.603359,5,no
7,7,9,9,18,42,27,69,0.000333,0.095908,12.000000,3452.697901,191.816550,287.724825,57.058650,1,no
6,6,7,7,14,18,15,33,0.000333,0.041881,6.000000,753.856275,41.880904,125.642712,39.302969,2,no
6,6,9,8,17,20,17,37,0.000333,0.050412,8.000000,1209.889001,67.216056,151.236125,52.529325,3,yes
11,11,15,13,28,41,26,67,0.000333,0.107364,14.000000,4509.298917,250.516606,322.092780,106.709075,3,no
11,11,17,14,31,43,28,71,0.000333,0.117249,16.000000,5627.967009,312.664834,351.747938,122.789837,4,yes
1,1,3,4,7,7,4,11,0.000333,0.010294,1.000000,30.880904,1.715606,30.880904,12.754888,1,no
14,14,15,14,29,44,33,77,0.000333,0.124688,14.000000,5236.903513,290.939084,374.064537,111.906328,2,no
3,3,6,5,11,10,7,17,0.000333,0.019603,3.000000,176.431013,9.801723,58.810338,27.119415,1,no
5,5,10,11,21,27,17,44,0.000333,0.064421,5.000000,966.309833,53.683880,193.261967,71.273029,3,yes
4,4,11,11,22,24,17,41,0.000333,0.060946,5.000000,914.183482,50.787971,182.836696,76.107496,3,no
6,6,11,17,28,40,24,64,0.000333,0.102557,5.000000,1538.353575,85.464088,307.670715,107.540616,2,yes
7,7,11,20,31,46,29,75,0.000333,0.123855,5.000000,1857.823616,103.212423,371.564723,124.492310,2,no
7,7,14,20,34,56,32,88,0.000333,0.149232,7.000000,3133.877110,174.104284,447.696730,139.741531,6,no
6,6,11,16,27,38,23,61,0.000333,0.096683,5.000000,1450.240688,80.568927,290.048138,102.053748,2,no
12,12,14,25,39,78,47,125,0.000333,0.220225,7.000000,4624.726942,256.929275,660.675277,169.399374,9,no
4,4,12,13,25,31,21,52,0.000333,0.080494,6.000000,1448.883131,80.493507,241.480522,91.125266,3,no
7,7,12,21,33,44,33,77,0.000333,0.129473,6.000000,2330.510083,129.472782,388.418347,135.258216,3,no
11,11,14,21,35,62,40,102,0.000333,0.174396,7.000000,3662.308074,203.461560,523.186868,145.541635,2,no
13,13,14,21,35,68,42,110,0.000333,0.188074,14.000000,7899.095846,438.838658,564.221132,145.541635,3,no
19,19,17,26,43,109,61,170,0.000333,0.307488,16.000000,14759.440133,819.968896,922.465008,191.698301,11,no
14,14,15,22,37,75,47,122,0.000333,0.211851,14.000000,8897.746348,494.319242,635.553311,156.710855,5,no
3,3,9,7,16,12,10,22,0.000333,0.029333,4.000000,352.000000,19.555556,88.000000,48.180809,2,no
3,3,10,8,18,14,12,26,0.000333,0.036139,5.000000,542.090250,30.116125,108.418050,57.219281,3,no
11,11,16,14,30,38,28,66,0.000333,0.107952,16.000000,5181.676469,287.870915,323.854779,117.302969,2,no
6,6,10,13,23,45,31,76,0.000333,0.114597,10.000000,3437.907087,190.994838,343.790709,81.324997,2,no
6,6,13,15,28,36,27,63,0.000333,0.100954,6.000000,1817.180161,100.954453,302.863360,106.709075,3,no
8,8,13,20,33,43,34,77,0.000333,0.129473,6.000000,2330.510083,129.472782,388.418347,134.544278,3,no
11,11,14,13,27,34,26,60,0.000333,0.095098,14.000000,3994.105502,221.894750,285.293250,101.408685,2,no
12,12,14,14,28,36,28,64,0.000333,0.102557,14.000000,4307.390010,239.299445,307.670715,106.605938,2,no
3,3,6,5,11,9,7,16,0.000333,0.018450,3.000000,166.052718,9.225151,55.350906,27.119415,2,no
3,3,8,6,14,11,9,20,0.000333,0.025382,4.000000,304.588394,16.921577,76.147098,39.509775,3,no
3,3,7,5,12,10,7,17,0.000333,0.020315,3.000000,182.833088,10.157394,60.944363,31.261125,1,no
8,8,14,14,28,43,31,74,0.000333,0.118581,14.000000,4980.419699,276.689983,355.744264,106.605938,4,no
13,13,15,16,31,64,45,109,0.000333,0.180002,14.000000,7560.103570,420.005754,540.007398,122.603359,5,no
3,3,9,6,15,12,10,22,0.000333,0.028651,4.000000,343.806372,19.100354,85.951593,44.039100,3,no
22,22,20,32,52,100,68,168,0.000333,0.319225,20.000000,19153.477453,1064.082081,957.673873,246.438562,8,no
22,22,22,34,56,102,72,174,0.000333,0.336827,22.000000,22230.554642,1235.030813,1010.479756,271.081232,9,no
11,11,14,12,26,36,26,62,0.000333,0.097142,14.000000,4079.981675,226.665649,291.427263,96.322519,2,yes
20,20,18,28,46,79,61,140,0.000333,0.257766,18.000000,13919.376129,773.298674,773.298674,209.664588,5,no
20,20,20,30,50,81,65,146,0.000333,0.274668,20.000000,16480.060074,915.558893,824.003004,233.645280,6,no
2,2,7,3,10,9,4,13,0.000333,0.014395,3.000000,129.555196,7.197511,43.185065,24.406372,1,no
10,10,14,18,32,56,35,91,0.000333,0.151667,7.000000,3185.000000,176.944444,455.000000,128.361619,2,no
12,12,14,18,32,62,37,99,0.000333,0.165000,14.000000,6930.000000,385.000000,495.000000,128.361619,3,no
13,13,15,19,34,69,42,111,0.000333,0.188236,14.000000,7905.917255,439.217625,564.708375,139.313982,5,no
7,7,15,12,27,41,27,68,0.000333,0.107777,14.000000,4526.652902,251.480717,323.332350,101.622909,4,yes
8,8,15,12,27,46,30,76,0.000333,0.120457,14.000000,5059.200302,281.066683,361.371450,101.622909,5,no
3,3,9,9,18,14,13,27,0.000333,0.037529,4.000000,450.351900,25.019550,112.587975,57.058650,1,no
4,4,9,11,20,19,17,36,0.000333,0.051863,4.000000,622.357646,34.575425,155.589411,66.583073,1,no
