@relation R_data_frame

@attribute Lines_Of_Program numeric
@attribute Physic_Lines numeric
@attribute n1_Number_Of_Distinct_Operators numeric
@attribute n2_Number_Of_Distinct_Operands numeric
@attribute n_Program_Vocabulary numeric
@attribute N1_Total_Number_Of_Operators numeric
@attribute N2_Total_Number_Of_Operands numeric
@attribute N_Program_Length numeric
@attribute B_Number_of_Delivered_Bugs_1 numeric
@attribute B_Number_of_Delivered_Bugs_2 numeric
@attribute D_Difficulty numeric
@attribute E_Effort numeric
@attribute T_Time_Required_To_Program numeric
@attribute V_Volume numeric
@attribute _N_Calculated_Program_Length numeric
@attribute McCab_Number numeric
@attribute IsVulnerable {no,yes}

@data
16,16,16,21,37,61,46,107,0.000333,0.185804,16.000000,8918.584162,495.476898,557.411510,156.238666,4,yes
15,15,17,18,35,46,38,84,0.000333,0.143620,16.000000,6893.756375,382.986465,430.859773,144.545518,3,no
17,17,19,24,43,64,51,115,0.000333,0.208007,18.000000,11232.368042,624.020447,624.020447,190.749723,5,no
12,12,15,20,35,51,36,87,0.000333,0.148749,7.000000,3123.733357,173.540742,446.247622,145.041921,4,no
12,12,18,22,40,54,39,93,0.000333,0.164980,9.000000,4454.453815,247.469656,494.939313,173.166146,5,no
7,7,7,9,16,19,17,36,0.000333,0.048000,3.000000,432.000000,24.000000,144.000000,48.180809,2,no
7,7,9,11,20,22,22,44,0.000333,0.063388,8.000000,1521.318689,84.517705,190.164836,66.583073,3,no
13,13,16,15,31,45,32,77,0.000333,0.127158,16.000000,6103.569854,339.087214,381.473116,122.603359,3,no
13,13,18,17,35,48,37,85,0.000333,0.145330,18.000000,7847.803016,435.989056,435.989056,144.545518,4,no
15,15,16,16,32,49,36,85,0.000333,0.141667,16.000000,6800.000000,377.777778,425.000000,128.000000,3,no
15,15,18,18,36,52,41,93,0.000333,0.160268,18.000000,8654.454452,480.803025,480.803025,150.117300,4,yes
14,14,16,17,33,50,38,88,0.000333,0.147969,16.000000,7102.506920,394.583718,443.906683,133.486868,3,no
14,14,17,18,35,51,41,92,0.000333,0.157298,16.000000,7550.304601,419.461367,471.894038,144.545518,3,no
14,14,18,19,37,53,43,96,0.000333,0.166703,18.000000,9001.935416,500.107523,500.107523,155.769273,4,yes
15,15,16,18,34,45,33,78,0.000333,0.132274,8.000000,3174.576813,176.365378,396.822102,139.058650,4,no
15,15,19,19,38,48,36,84,0.000333,0.146942,9.000000,3967.433200,220.412956,440.825911,161.421246,5,yes
15,15,19,20,39,48,36,84,0.000333,0.147991,9.000000,3995.764077,221.986893,443.973786,167.149185,5,no
7,7,7,10,17,16,13,29,0.000333,0.039512,3.000000,355.609267,19.756070,118.536422,52.870765,3,no
7,7,10,11,21,19,16,35,0.000333,0.051244,5.000000,768.655549,42.703086,153.731110,71.273029,4,no
7,7,10,12,22,19,16,35,0.000333,0.052027,5.000000,780.400533,43.355585,156.080107,76.238831,4,no
16,16,15,19,34,75,49,124,0.000333,0.210282,14.000000,8831.835492,490.657527,630.845392,139.313982,5,no
21,21,18,42,60,109,77,186,0.000333,0.366227,9.000000,9888.134857,549.340825,1098.681651,301.535982,7,yes
7,7,11,10,21,23,21,44,0.000333,0.064421,10.000000,1932.619666,107.367759,193.261967,71.273029,1,no
26,26,19,44,63,131,88,219,0.000333,0.436341,18.000000,23562.437458,1309.024303,1309.024303,320.925614,8,yes
28,28,19,44,63,137,90,227,0.000333,0.452281,18.000000,24423.165767,1356.842543,1356.842543,320.925614,9,no
30,30,19,45,64,147,95,242,0.000333,0.484000,18.000000,26136.000000,1452.000000,1452.000000,327.844012,10,no
28,28,19,44,63,140,91,231,0.000333,0.460251,18.000000,24853.529922,1380.751662,1380.751662,320.925614,9,no
12,12,15,16,31,41,28,69,0.000333,0.113947,7.000000,2392.876818,132.937601,341.839545,122.603359,4,no
12,12,18,18,36,44,31,75,0.000333,0.129248,9.000000,3489.699376,193.872188,387.744375,150.117300,5,no
15,15,15,17,32,48,33,81,0.000333,0.135000,7.000000,2835.000000,157.500000,405.000000,128.090227,5,yes
15,15,18,19,37,51,36,87,0.000333,0.151074,9.000000,4079.001985,226.611221,453.222443,155.769273,6,no
7,7,6,9,15,19,13,32,0.000333,0.041673,3.000000,375.061497,20.836750,125.020499,44.039100,4,no
7,7,9,11,20,22,16,38,0.000333,0.054744,4.000000,656.933070,36.496282,164.233268,66.583073,5,no
9,9,11,15,26,33,24,57,0.000333,0.089308,5.000000,1339.625320,74.423629,267.925064,96.657107,5,no
9,9,14,17,31,36,27,63,0.000333,0.104038,7.000000,2184.800573,121.377810,312.114368,122.789837,6,no
